station,year,month,precip,t_med,t_min,t_max,spei_1,spei_3,spei_6,spei_12,spei_24,month_sin,month_cos,t_med_anom,t_min_anom,t_max_anom,precip_anom,precip_lag1,precip_lag3,t_med_lag1,t_med_lag3,precip_roll3,drought_class
Baltata,1962,6,75.4,18.7,12.8,25.0,-0.270334,-0.76525,0.391234,-0.581481,,0.0,-1.0,-0.99,-1.0267,-0.83,12.6567,40.0,64.2,16.3,5.4,43.20000000000001,Normal
Baltata,1962,7,51.9,22.8,17.5,29.0,-1.261251,-1.014107,-0.478796,-0.707269,,-0.5,-0.866025403784439,0.4433,1.3933,0.66,-12.3267,75.4,14.2,18.7,10.2,55.76666666666667,Dry
Baltata,1962,8,48.9,21.2,15.3,27.1,-1.148647,-1.167552,-0.977834,-0.641571,,-0.866025403784438,-0.5,0.2433,0.3333,0.21,-0.2633,51.9,40.0,22.8,16.3,58.73333333333334,Dry
Baltata,1962,9,18.0,15.8,10.2,22.7,-1.236478,-1.589526,-1.657523,-0.659197,,-1.0,-0.0,-0.2367,0.0833,0.51,-27.1333,48.9,75.4,21.2,18.7,39.6,Dry
Baltata,1962,10,22.5,8.9,3.7,14.1,-0.358166,-1.195093,-1.555085,-0.797804,,-0.866025403784439,0.5,-0.9267,-1.0367,-0.7467,-15.7033,18.0,51.9,15.8,22.8,29.8,Dry
Baltata,1962,11,10.9,5.5,-0.0,9.6,-0.236553,-0.796726,-1.38274,-0.88193,,-0.5,0.866025403784438,1.4533,1.01,0.6567,-39.48,22.5,48.9,8.9,21.2,17.133333333333333,Normal
Baltata,1962,12,10.0,-0.7,-4.6,2.8,0.362501,-0.098354,-1.188247,-0.945224,-1.405524,-0.0,1.0,0.0633,0.3767,-0.3133,-28.1867,10.9,18.0,5.5,15.8,14.466666666666667,Normal
Baltata,1963,1,43.1,-3.5,-7.1,-0.2,1.107941,0.541984,-0.460108,-1.109469,-1.368663,0.5,0.866025403784439,-0.43,-0.0033,-1.1667,6.4933,10.0,22.5,-0.7,8.9,21.333333333333332,Normal
Baltata,1963,2,10.1,-1.7,-5.6,2.4,0.364753,0.804612,0.005015,-1.148728,-1.594165,0.866025403784439,0.5,-0.69,-0.5067,-0.5533,-22.9833,43.1,10.9,-3.5,5.5,21.066666666666666,Normal
Baltata,1963,3,25.2,4.5,-1.0,9.4,0.198099,0.732807,0.445913,-1.425141,-1.550257,1.0,0.0,0.72,0.32,0.54,-5.1,10.1,10.0,-1.7,-0.7,26.133333333333336,Normal
Baltata,1963,4,89.6,11.7,5.1,17.5,0.837691,0.614772,0.813444,-0.881128,-1.177311,0.866025403784439,-0.5,0.76,0.1033,0.6,51.1667,25.2,43.1,4.5,-3.5,41.63333333333333,Normal
Baltata,1963,5,27.5,16.9,10.2,23.6,-1.146395,-0.045238,0.533816,-1.005314,-1.240733,0.5,-0.866025403784439,0.9433,0.2633,1.6133,-19.3167,89.6,10.1,11.7,-1.7,47.43333333333334,Normal
Baltata,1963,6,10.6,21.0,14.2,27.1,-1.988674,-1.000336,-0.188786,-1.616627,-1.498218,0.0,-1.0,1.31,0.3733,1.27,-52.1433,27.5,25.2,16.9,4.5,42.56666666666666,Dry
Baltata,1963,7,39.6,25.5,19.2,31.5,-1.842289,-2.170847,-1.095499,-1.823335,-1.723179,-0.5,-0.866025403784439,3.1433,3.0933,3.16,-24.6267,10.6,89.6,21.0,11.7,25.900000000000002,Dry
Baltata,1963,8,112.2,21.6,16.0,27.2,0.23188,-1.56887,-1.136336,-1.332202,-1.346438,-0.866025403784438,-0.5,0.6433,1.0333,0.31,63.0367,39.6,27.5,25.5,16.9,54.13333333333333,Dry
Baltata,1963,9,29.6,15.5,9.5,21.1,-0.941455,-1.111485,-1.486562,-1.227245,-1.287352,-1.0,-0.0,-0.5367,-0.6167,-1.09,-15.5333,112.2,10.6,21.6,21.0,60.46666666666667,Dry
Baltata,1963,10,37.7,8.6,2.8,13.7,0.017932,-0.299013,-1.738504,-1.093446,-1.290604,-0.866025403784439,0.5,-1.2267,-1.9367,-1.1467,-0.5033,29.6,39.6,15.5,25.5,59.833333333333336,Normal
Baltata,1963,11,133.2,4.4,-0.7,9.5,2.64161,0.753463,-0.574312,-0.069517,-0.654752,-0.5,0.866025403784438,0.3533,0.31,0.5567,82.82,37.7,112.2,8.6,21.6,66.83333333333333,Normal
Baltata,1963,12,68.6,0.8,-3.4,3.9,1.592139,1.860039,0.526202,0.367937,-0.401604,-0.0,1.0,1.5633,1.5767,0.7867,30.4133,133.2,29.6,4.4,15.5,79.83333333333333,Wet
Baltata,1964,1,11.4,-2.5,-5.7,1.4,0.39403,2.024304,1.213505,0.113957,-0.684566,0.5,0.866025403784439,0.57,1.3967,0.4333,-25.2067,68.6,37.7,0.8,8.6,71.06666666666666,Wet
Baltata,1964,2,24.7,-2.1,-6.6,2.0,0.693557,1.17347,1.355395,0.230932,-0.631985,0.866025403784439,0.5,-1.09,-1.5067,-0.9533,-8.3833,11.4,133.2,-2.5,4.4,34.9,Wet
Baltata,1964,3,5.1,2.4,-2.6,7.5,-0.018101,0.47018,1.639175,0.154017,-0.871039,1.0,0.0,-1.38,-1.28,-1.36,-25.2,24.7,68.6,-2.1,0.8,13.733333333333334,Normal
Baltata,1964,4,56.9,11.4,6.1,17.0,0.135041,0.357063,1.675167,-0.095956,-0.672099,0.866025403784439,-0.5,0.46,1.1033,0.1,18.4667,5.1,11.4,2.4,-2.5,28.899999999999995,Normal
Baltata,1964,5,71.9,17.3,11.3,22.9,-0.191512,-0.0295,0.804446,0.243751,-0.526281,0.5,-0.866025403784439,1.3433,1.3633,0.9133,25.0833,56.9,24.7,11.4,-2.1,44.63333333333333,Normal
Baltata,1964,6,27.6,21.3,15.4,27.1,-1.639601,-0.737709,-0.188786,0.367937,-0.855861,0.0,-1.0,1.61,1.5733,1.27,-35.1433,71.9,5.1,17.3,2.4,52.13333333333333,Normal
Baltata,1964,7,86.2,21.4,15.5,27.5,-0.331141,-0.941319,-0.411657,0.90554,-0.631985,-0.5,-0.866025403784439,-0.9567,-0.6067,-0.84,21.9733,27.6,56.9,21.3,11.4,61.9,Normal
Baltata,1964,8,59.7,21.2,15.3,27.4,-0.905422,-1.253127,-0.903082,0.500935,-0.573441,-0.866025403784438,-0.5,0.2433,0.3333,0.51,10.5367,86.2,71.9,21.4,17.3,57.833333333333336,Dry
Baltata,1964,9,103.4,16.2,10.5,22.6,0.641759,-0.256717,-0.700283,1.064176,-0.121352,-1.0,-0.0,0.1633,0.3833,0.41,58.2667,59.7,27.6,21.2,21.3,83.10000000000001,Normal
Baltata,1964,10,62.5,10.4,5.0,15.2,0.373761,0.051157,-0.626915,1.190765,0.054822,-0.866025403784439,0.5,0.5733,0.2633,0.3533,24.2967,103.4,86.2,16.2,21.4,75.2,Normal
Baltata,1964,11,58.5,5.4,0.7,10.1,0.846699,0.816415,-0.307835,0.552212,0.315559,-0.5,0.866025403784438,1.3533,1.71,1.1567,8.12,62.5,59.7,10.4,21.2,74.8,Normal
Baltata,1964,12,25.0,-0.2,-4.8,3.9,0.700314,0.841989,0.411306,0.234938,0.39687,-0.0,1.0,0.5633,0.1767,0.7867,-13.1867,58.5,103.4,5.4,16.2,48.666666666666664,Normal
Baltata,1965,1,21.8,-1.7,-5.7,2.4,0.628247,0.953139,0.706161,0.318263,0.281408,0.5,0.866025403784439,1.37,1.3967,1.4333,-14.8067,25.0,62.5,-0.2,10.4,35.1,Normal
Baltata,1965,2,18.1,-0.4,-4.4,3.3,0.54492,0.821333,1.151904,0.265384,0.324774,0.866025403784439,0.5,0.61,0.6933,0.3467,-14.9833,21.8,58.5,-1.7,5.4,21.633333333333336,Normal
Baltata,1965,3,28.5,4.6,-0.7,9.9,0.261157,0.629527,1.034931,0.364732,0.339952,1.0,0.0,0.82,0.62,1.04,-1.8,18.1,25.0,-0.4,-0.2,22.8,Normal
Baltata,1965,4,47.7,12.2,6.0,18.4,-0.162234,0.284275,0.8702,0.258974,0.099272,0.866025403784439,-0.5,1.26,1.0033,1.5,9.2667,28.5,21.8,4.6,-1.7,31.433333333333337,Normal
Baltata,1965,5,50.7,14.2,8.2,20.9,-0.31988,-0.093436,0.511667,0.213306,0.298213,0.5,-0.866025403784439,-1.7567,-1.7367,-1.0867,3.8833,47.7,18.1,12.2,-0.4,42.300000000000004,Normal
Baltata,1965,6,28.7,18.9,12.6,25.7,-1.344578,-0.794759,-0.116803,0.318263,0.453246,0.0,-1.0,-0.79,-1.2267,-0.13,-34.0433,50.7,28.5,14.2,4.6,42.36666666666667,Normal
Baltata,1965,7,147.5,20.9,14.9,26.7,1.105689,-0.240979,0.029933,0.829426,1.16282,-0.5,-0.866025403784439,-1.4567,-1.2067,-1.64,83.2733,28.7,47.7,18.9,12.2,75.63333333333334,Normal
Baltata,1965,8,130.6,19.7,13.4,25.8,0.860212,0.274439,0.126833,1.457564,1.314058,-0.866025403784438,-0.5,-1.2567,-1.5667,-1.09,81.4367,147.5,50.7,20.9,14.2,102.26666666666665,Normal
Baltata,1965,9,69.9,15.1,9.3,21.2,0.011176,0.86658,0.050005,1.233229,1.543355,-1.0,-0.0,-0.9367,-0.8167,-0.99,24.7667,130.6,28.7,19.7,18.9,116.0,Normal
Baltata,1965,10,78.9,11.9,6.3,16.7,0.574197,0.634445,0.276337,1.304535,1.677247,-0.866025403784439,0.5,2.0733,1.5633,1.8533,40.6967,69.9,147.5,15.1,20.9,93.13333333333333,Normal
Baltata,1965,11,129.3,3.4,-1.3,8.2,2.666383,1.42331,1.194125,1.951902,1.68321,-0.5,0.866025403784438,-0.6467,-0.29,-0.7433,78.92,78.9,130.6,11.9,19.7,92.7,Wet
Baltata,1965,12,12.3,0.2,-4.4,3.5,0.391778,1.589542,1.72777,1.842138,1.394285,-0.0,1.0,0.9633,0.5767,0.3867,-25.8867,129.3,69.9,3.4,15.1,73.50000000000001,Wet
Baltata,1966,1,96.4,-5.1,-9.1,-0.8,2.308301,2.346932,2.097377,2.439831,1.855047,0.5,0.866025403784439,-2.03,-2.0033,-1.7667,59.7933,12.3,78.9,0.2,11.9,79.33333333333334,Wet
Baltata,1966,2,19.4,-2.2,-6.4,1.6,0.574197,1.433146,2.009474,2.450246,1.826317,0.866025403784439,0.5,-1.19,-1.3067,-1.3533,-13.6833,96.4,129.3,-5.1,3.4,42.699999999999996,Wet
Baltata,1966,3,64.4,3.8,-0.6,8.9,1.159739,1.768562,2.362469,2.769924,2.109822,1.0,0.0,0.02,0.72,0.04,34.1,19.4,12.3,-2.2,0.2,60.06666666666667,Wet
Baltata,1966,4,12.6,11.8,5.9,17.4,-0.907674,0.363949,1.907036,2.504728,1.858842,0.866025403784439,-0.5,0.86,0.9033,0.5,-25.8333,64.4,96.4,3.8,-5.1,32.13333333333333,Normal
Baltata,1966,5,38.2,17.4,11.1,22.8,-0.961724,-0.306882,0.791987,2.276387,1.673453,0.5,-0.866025403784439,1.4433,1.1633,0.8133,-8.6167,12.6,19.4,11.8,-2.2,38.4,Normal
Baltata,1966,6,126.8,21.7,15.7,27.6,0.549424,-0.573444,0.840437,2.950193,2.200348,0.0,-1.0,2.01,1.8733,1.77,64.0567,38.2,64.4,17.4,3.8,59.199999999999996,Normal
Baltata,1966,7,93.5,22.1,15.2,28.1,-0.245562,-0.284259,0.055542,2.469475,2.220947,-0.5,-0.866025403784439,-0.2567,-0.9067,-0.24,29.2733,126.8,12.6,21.7,11.8,86.16666666666667,Normal
Baltata,1966,8,36.0,20.3,14.4,26.6,-1.337822,-0.448524,-0.532091,1.687507,2.116868,-0.866025403784438,-0.5,-0.6567,-0.5667,-0.29,-13.1633,93.5,38.2,22.1,17.4,85.43333333333334,Normal
Baltata,1966,9,31.7,17.1,11.7,23.8,-1.074328,-1.157716,-1.218701,1.301331,1.703809,-1.0,-0.0,1.0633,1.5833,1.61,-13.4333,36.0,126.8,20.3,21.7,53.73333333333333,Dry
Baltata,1966,10,17.7,10.1,5.1,15.2,-0.601391,-1.313128,-1.124569,0.883106,1.469091,-0.866025403784439,0.5,0.2733,0.3633,0.3533,-20.5033,31.7,93.5,17.1,22.1,28.46666666666667,Dry
Baltata,1966,11,52.4,2.1,-2.7,7.5,1.080916,-0.256717,-0.496791,0.319064,1.525467,-0.5,0.866025403784438,-1.9467,-1.69,-1.4433,2.02,17.7,36.0,10.1,20.3,33.93333333333333,Normal
Baltata,1966,12,47.6,-3.4,-6.9,0.4,1.209284,0.740676,-0.293992,0.609898,1.647975,-0.0,1.0,-2.6367,-1.9233,-2.7133,9.4133,52.4,31.7,2.1,17.1,39.23333333333333,Normal
Baltata,1967,1,17.0,-5.2,-8.6,-1.5,0.520147,1.23052,-0.058662,-0.026252,1.621956,0.5,0.866025403784439,-2.13,-1.5033,-2.4667,-19.6067,47.6,17.7,-3.4,10.1,39.0,Wet
Baltata,1967,2,28.4,-1.0,-5.8,3.6,0.776884,1.097731,0.591264,0.045856,1.677789,0.866025403784439,0.5,0.01,-0.7067,0.6467,-4.6833,17.0,52.4,-5.2,2.1,31.0,Wet
Baltata,1967,3,6.4,4.2,-1.5,8.8,-0.191512,0.485918,0.862586,-0.434862,1.568832,1.0,0.0,0.42,-0.18,-0.06,-23.9,28.4,47.6,-1.0,-3.4,17.266666666666666,Normal
Baltata,1967,4,35.1,12.1,6.1,17.6,-0.434737,0.068862,0.913805,-0.266611,1.503242,0.866025403784439,-0.5,1.16,1.1033,0.7,-3.3333,6.4,17.0,4.2,-5.2,23.3,Normal
Baltata,1967,5,80.0,15.7,9.5,21.8,0.171074,-0.195733,0.634177,0.136391,1.621414,0.5,-0.866025403784439,-0.2567,-0.4367,-0.1867,33.1833,35.1,28.4,12.1,-1.0,40.5,Normal
Baltata,1967,6,98.9,20.1,14.7,26.1,0.101259,-0.067862,0.293641,-0.023047,1.969425,0.0,-1.0,0.41,0.8733,0.27,36.1567,80.0,6.4,15.7,4.2,71.33333333333333,Normal
Baltata,1967,7,102.3,23.0,16.8,28.5,-0.148722,0.057058,0.088073,0.011404,1.66749,-0.5,-0.866025403784439,0.6433,0.6933,0.16,38.0733,98.9,35.1,20.1,12.1,93.73333333333333,Normal
Baltata,1967,8,50.1,20.9,14.1,26.8,-1.087841,-0.492787,-0.485025,0.100337,1.198596,-0.866025403784438,-0.5,-0.0567,-0.8667,-0.09,0.9367,102.3,80.0,23.0,15.7,83.76666666666667,Normal
Baltata,1967,9,31.8,16.6,10.1,23.1,-1.015774,-0.980664,-0.738351,0.121168,0.951411,-1.0,-0.0,0.5633,-0.0167,0.91,-13.3333,50.1,98.9,20.9,20.1,61.400000000000006,Normal
Baltata,1967,10,19.9,9.2,3.2,14.0,-0.450501,-1.112469,-0.743196,0.174848,0.704768,-0.866025403784439,0.5,-0.6267,-1.5367,-0.8467,-18.3033,31.8,102.3,16.6,23.0,33.93333333333334,Dry
Baltata,1967,11,23.7,3.2,-1.8,7.7,0.310703,-0.501639,-0.700283,-0.099161,0.137759,-0.5,0.866025403784438,-0.8467,-0.79,-1.2433,-26.68,19.9,50.1,9.2,20.9,25.133333333333336,Normal
Baltata,1967,12,25.0,-1.9,-5.8,2.6,0.700314,0.247881,-0.516172,-0.280231,0.212023,-0.0,1.0,-1.1367,-0.8233,-0.5133,-13.1867,23.7,31.8,3.2,16.6,22.866666666666664,Normal
Baltata,1968,1,55.6,-5.1,-9.1,-0.7,1.389451,1.051501,-0.043435,0.029031,-0.009143,0.5,0.866025403784439,-2.03,-2.0033,-1.6667,18.9933,25.0,19.9,-1.9,9.2,34.76666666666667,Wet
Baltata,1968,2,81.2,-1.0,-4.6,2.7,1.965985,1.774463,0.895117,0.452062,0.325858,0.866025403784439,0.5,0.01,0.4933,-0.2533,48.1167,55.6,23.7,-5.1,3.2,53.93333333333334,Wet
Baltata,1968,3,16.3,3.3,-1.2,7.7,0.132788,1.526591,1.248112,0.567435,0.078673,1.0,0.0,-0.48,0.12,-1.16,-14.0,81.2,25.0,-1.0,-1.9,51.03333333333334,Wet
Baltata,1968,4,25.0,10.8,4.7,16.5,-0.515812,0.694446,1.22804,0.538592,0.172994,0.866025403784439,-0.5,-0.14,-0.2967,-0.4,-13.4333,16.3,55.6,3.3,-5.1,40.833333333333336,Normal
Baltata,1968,5,16.5,16.6,9.7,22.6,-1.360343,-0.758365,0.714466,-0.006222,0.077047,0.5,-0.866025403784439,0.6433,-0.2367,0.6133,-30.3167,25.0,81.2,10.8,-1.0,19.266666666666666,Normal
Baltata,1968,6,42.9,20.9,15.1,27.3,-1.249991,-1.362309,0.115067,-0.48694,-0.35607,0.0,-1.0,1.21,1.2733,1.47,-19.8433,16.5,16.3,16.6,3.3,28.133333333333336,Dry
Baltata,1968,7,43.0,23.3,17.4,28.8,-1.517989,-1.800021,-0.778495,-0.974067,-0.662341,-0.5,-0.866025403784439,0.9433,1.2933,0.46,-21.2267,42.9,25.0,20.9,10.8,34.13333333333333,Dry
Baltata,1968,8,46.6,21.3,15.4,27.2,-1.211705,-1.735102,-1.755115,-1.018133,-0.631985,-0.866025403784438,-0.5,0.3433,0.4333,0.31,-2.5633,43.0,16.5,23.3,16.6,44.166666666666664,Dry
Baltata,1968,9,43.9,15.5,9.9,21.8,-0.619407,-1.459688,-1.986293,-0.877122,-0.522486,-1.0,-0.0,-0.5367,-0.2167,-0.39,-1.2333,46.6,42.9,21.3,20.9,44.5,Dry
Baltata,1968,10,27.1,9.7,4.3,13.8,-0.344653,-0.94722,-1.933689,-0.839466,-0.46069,-0.866025403784439,0.5,-0.1267,-0.4367,-1.0467,-11.1033,43.9,43.0,15.5,23.3,39.199999999999996,Normal
Baltata,1968,11,37.9,1.4,-2.6,7.0,0.833187,-0.054091,-1.259538,-0.653589,-0.520318,-0.5,0.866025403784438,-2.6467,-1.59,-1.9433,-12.48,27.1,46.6,9.7,21.3,36.300000000000004,Normal
Baltata,1968,12,16.1,-4.1,-8.2,-0.3,0.499878,0.434769,-0.721739,-0.724895,-0.691071,-0.0,1.0,-3.3367,-3.2233,-3.4133,-22.0867,37.9,43.9,1.4,15.5,27.03333333333333,Normal
Baltata,1969,1,31.8,-6.1,-9.5,-1.6,0.853455,0.958057,0.007092,-0.91558,-0.610844,0.5,0.866025403784439,-3.03,-2.4033,-2.5667,-4.8067,16.1,27.1,-4.1,9.7,28.599999999999998,Normal
Baltata,1969,2,43.1,-3.6,-8.0,0.8,1.107941,1.078059,0.720004,-1.220836,-0.531159,0.866025403784439,0.5,-2.59,-2.9067,-2.1533,10.0167,31.8,37.9,-6.1,1.4,30.333333333333332,Wet
Baltata,1969,3,17.0,3.7,-1.6,9.2,0.103511,0.904941,0.942183,-1.231251,-0.460148,1.0,0.0,-0.08,-0.28,0.34,-13.3,43.1,16.1,-3.6,-4.1,30.633333333333336,Normal
Baltata,1969,4,6.1,9.5,4.3,15.9,-0.79507,0.184929,0.803753,-1.3306,-0.54688,0.866025403784439,-0.5,-1.44,-0.6967,-1.0,-32.3333,17.0,31.8,3.7,-6.1,22.066666666666666,Normal
Baltata,1969,5,73.6,14.9,8.9,20.1,0.117024,-0.247865,0.583651,-0.805015,-0.559889,0.5,-0.866025403784439,-1.0567,-1.0367,-1.8867,26.7833,6.1,43.1,9.5,-3.6,32.23333333333333,Normal
Baltata,1969,6,31.9,21.6,15.7,27.1,-1.576543,-0.981647,-0.054509,-0.921188,-0.963734,0.0,-1.0,1.91,1.8733,1.27,-30.8433,73.6,17.0,14.9,3.7,37.199999999999996,Normal
Baltata,1969,7,32.1,22.0,16.1,28.1,-1.617081,-1.340669,-0.813795,-0.956441,-1.317166,-0.5,-0.866025403784439,-0.3567,-0.0067,-0.24,-32.1267,31.9,6.1,21.6,9.5,45.86666666666667,Dry
Baltata,1969,8,36.1,22.1,16.0,27.9,-1.538258,-2.063632,-1.627068,-1.072614,-1.42558,-0.866025403784438,-0.5,1.1433,1.0333,1.01,-13.0633,32.1,73.6,22.0,14.9,33.36666666666667,Dry
Baltata,1969,9,8.0,15.0,9.6,21.3,-1.371603,-1.974122,-2.080425,-1.340214,-1.511228,-1.0,-0.0,-1.0367,-0.5167,-0.89,-37.1333,36.1,31.9,22.1,21.6,25.400000000000002,Dry
Baltata,1969,10,43.9,9.3,4.3,14.7,0.078738,-1.233455,-1.811871,-1.189589,-1.383841,-0.866025403784439,0.5,-0.5267,-0.4367,-0.1467,5.6967,8.0,32.1,15.0,22.0,29.333333333333332,Dry
Baltata,1969,11,19.9,2.3,-3.2,7.8,0.326468,-0.419015,-1.747502,-1.369858,-1.380046,-0.5,0.866025403784438,-1.7467,-2.19,-1.1433,-30.48,43.9,36.1,9.3,22.1,23.933333333333334,Normal
Baltata,1969,12,16.1,-2.1,-6.3,1.9,0.499878,0.398375,-1.109342,-1.369858,-1.428291,-0.0,1.0,-1.3367,-1.3233,-1.2133,-22.0867,19.9,8.0,2.3,15.0,26.633333333333336,Normal
Baltata,1970,1,15.6,-2.1,-6.0,1.1,0.488618,0.577395,-0.462184,-1.499652,-1.64512,0.5,0.866025403784439,0.97,1.0967,0.1333,-21.0067,16.1,43.9,-2.1,9.3,17.2,Normal
Baltata,1970,2,8.0,-3.3,-6.9,0.8,0.317459,0.57346,0.108145,-1.780872,-2.041918,0.866025403784439,0.5,-2.29,-1.8067,-2.1533,-25.0833,15.6,19.9,-2.1,2.3,13.233333333333334,Normal
Baltata,1970,3,40.3,3.9,-1.8,9.0,0.605726,0.61969,0.715851,-1.602205,-1.928082,1.0,0.0,0.12,-0.48,0.14,10.0,8.0,16.1,-3.3,-2.1,21.3,Normal
Baltata,1970,4,31.2,11.3,5.0,16.8,-0.432485,0.217389,0.558733,-1.473213,-1.908026,0.866025403784439,-0.5,0.36,0.0033,-0.1,-7.2333,40.3,15.6,3.9,-2.1,26.5,Normal
Baltata,1970,5,78.0,15.2,9.1,21.5,0.182334,0.158371,0.514436,-1.449978,-1.536705,0.5,-0.866025403784439,-0.7567,-0.8367,-0.4867,31.1833,31.2,8.0,11.3,-3.3,49.833333333333336,Normal
Baltata,1970,6,54.3,17.6,11.7,24.2,-0.62166,-0.377703,0.169746,-1.110271,-1.385467,0.0,-1.0,-2.09,-2.1267,-1.63,-8.4433,78.0,40.3,15.2,3.9,54.5,Normal
Baltata,1970,7,48.5,21.3,14.8,27.4,-1.168916,-0.699347,-0.339674,-0.950833,-1.301446,-0.5,-0.866025403784439,-1.0567,-1.3067,-0.94,-15.7267,54.3,31.2,17.6,11.3,60.26666666666667,Normal
Baltata,1970,8,18.9,19.9,13.8,24.8,-1.677887,-1.51182,-0.952917,-1.000507,-1.413655,-0.866025403784438,-0.5,-1.0567,-1.1667,-2.09,-30.2633,48.5,78.0,21.3,15.2,40.56666666666666,Dry
Baltata,1970,9,67.4,16.0,9.7,21.5,-0.14647,-1.304275,-1.184094,-0.564656,-1.299819,-1.0,-0.0,-0.0367,-0.4167,-0.69,22.2667,18.9,54.3,19.9,17.6,44.93333333333334,Dry
Baltata,1970,10,62.0,10.0,5.3,15.8,0.407543,-0.61574,-0.925923,-0.447681,-1.118767,-0.866025403784439,0.5,0.1733,0.5633,0.9533,23.7967,67.4,48.5,16.0,21.3,49.43333333333334,Normal
Baltata,1970,11,82.8,6.4,1.5,11.0,1.281351,0.676741,-0.588155,-0.107974,-1.010894,-0.5,0.866025403784438,2.3533,2.51,2.0567,32.42,62.0,18.9,10.0,19.9,70.73333333333333,Normal
Baltata,1970,12,30.0,-0.5,-4.6,2.6,0.812918,1.095764,-0.147257,0.003392,-0.935546,-0.0,1.0,0.2633,0.3767,-0.5133,-8.1867,82.8,67.4,6.4,16.0,58.26666666666667,Wet
Baltata,1971,1,16.3,-4.4,-8.4,0.3,0.504382,1.13806,0.367008,0.009001,-1.019568,0.5,0.866025403784439,-1.33,-1.3033,-0.6667,-20.3067,30.0,62.0,-0.5,10.0,43.03333333333333,Wet
